filename,original_path,dataset,original_score,corrupted_score,corruption_type,corruption_description,penalty_applied
Denisova10M_asap_original_0000.mid,/data/scratch/acw630/asap-dataset-alignment/Glinka/The_Lark/Denisova10M.mid,asap,80,80.0,clean,original,0.0
Denisova10M_asap_wrong_notes(1057)_0001.mid,/data/scratch/acw630/asap-dataset-alignment/Glinka/The_Lark/Denisova10M.mid,asap,80,55.0,wrong_notes,wrong_notes(1057),-25.0
Denisova10M_asap_missing_voice_0002.mid,/data/scratch/acw630/asap-dataset-alignment/Glinka/The_Lark/Denisova10M.mid,asap,80,30.92621043993715,missing_voice,missing_voice,-49.07378956006285
Denisova10M_asap_wrong_notes(2191)_0003.mid,/data/scratch/acw630/asap-dataset-alignment/Glinka/The_Lark/Denisova10M.mid,asap,80,55.0,wrong_notes,wrong_notes(2191),-25.0
Denisova10M_asap_dynamic_errors(881)_0004.mid,/data/scratch/acw630/asap-dataset-alignment/Glinka/The_Lark/Denisova10M.mid,asap,80,65.0,dynamic_errors,dynamic_errors(881),-15.0
Denisova10M_asap_timing_errors(2392)_0005.mid,/data/scratch/acw630/asap-dataset-alignment/Glinka/The_Lark/Denisova10M.mid,asap,80,60.0,timing_errors,timing_errors(2392),-20.0
Denisova10M_asap_wrong_notes(2094)_0006.mid,/data/scratch/acw630/asap-dataset-alignment/Glinka/The_Lark/Denisova10M.mid,asap,80,55.0,wrong_notes,wrong_notes(2094),-25.0
Denisova10M_asap_wrong_notes(1332)_timing_errors(1983)_dynamic_erro_0007.mid,/data/scratch/acw630/asap-dataset-alignment/Glinka/The_Lark/Denisova10M.mid,asap,80,20.0,mixed,"wrong_notes(1332),timing_errors(1983),dynamic_errors(1824)",-60.0
Denisova10M_asap_dynamic_errors(861)_0008.mid,/data/scratch/acw630/asap-dataset-alignment/Glinka/The_Lark/Denisova10M.mid,asap,80,65.0,dynamic_errors,dynamic_errors(861),-15.0
Kleisen07M_asap_original_0009.mid,/data/scratch/acw630/asap-dataset-alignment/Glinka/The_Lark/Kleisen07M.mid,asap,80,80.0,clean,original,0.0
Kleisen07M_asap_missing_voice_0010.mid,/data/scratch/acw630/asap-dataset-alignment/Glinka/The_Lark/Kleisen07M.mid,asap,80,27.818927064965848,missing_voice,missing_voice,-52.18107293503415
Kleisen07M_asap_dynamic_errors(1713)_0011.mid,/data/scratch/acw630/asap-dataset-alignment/Glinka/The_Lark/Kleisen07M.mid,asap,80,65.0,dynamic_errors,dynamic_errors(1713),-15.0
Kleisen07M_asap_missing_passage_0012.mid,/data/scratch/acw630/asap-dataset-alignment/Glinka/The_Lark/Kleisen07M.mid,asap,80,43.38700921186849,missing_passage,missing_passage,-36.61299078813151
Kleisen07M_asap_wrong_notes(2160)_timing_errors(419)_dynamic_error_0013.mid,/data/scratch/acw630/asap-dataset-alignment/Glinka/The_Lark/Kleisen07M.mid,asap,80,20.0,mixed,"wrong_notes(2160),timing_errors(419),dynamic_errors(1365)",-60.0
Kleisen07M_asap_wrong_notes(1342)_timing_errors(1568)_dynamic_erro_0014.mid,/data/scratch/acw630/asap-dataset-alignment/Glinka/The_Lark/Kleisen07M.mid,asap,80,20.0,mixed,"wrong_notes(1342),timing_errors(1568),dynamic_errors(827)",-60.0
Kleisen07M_asap_dynamic_errors(1547)_0015.mid,/data/scratch/acw630/asap-dataset-alignment/Glinka/The_Lark/Kleisen07M.mid,asap,80,65.0,dynamic_errors,dynamic_errors(1547),-15.0
Kleisen07M_asap_dynamic_errors(1264)_0016.mid,/data/scratch/acw630/asap-dataset-alignment/Glinka/The_Lark/Kleisen07M.mid,asap,80,65.0,dynamic_errors,dynamic_errors(1264),-15.0
Kleisen07M_asap_dynamic_errors(295)_0017.mid,/data/scratch/acw630/asap-dataset-alignment/Glinka/The_Lark/Kleisen07M.mid,asap,80,65.0,dynamic_errors,dynamic_errors(295),-15.0
Knoll10_asap_original_0018.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/2nd_no_repeat/Knoll10.mid,asap,80,80.0,clean,original,0.0
Knoll10_asap_timing_errors(3176)_0019.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/2nd_no_repeat/Knoll10.mid,asap,80,60.0,timing_errors,timing_errors(3176),-20.0
Knoll10_asap_wrong_notes(3687)_timing_errors(3657)_dynamic_erro_0020.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/2nd_no_repeat/Knoll10.mid,asap,80,20.0,mixed,"wrong_notes(3687),timing_errors(3657),dynamic_errors(2829)",-60.0
Knoll10_asap_timing_errors(1423)_0021.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/2nd_no_repeat/Knoll10.mid,asap,80,60.0,timing_errors,timing_errors(1423),-20.0
Knoll10_asap_missing_voice_0022.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/2nd_no_repeat/Knoll10.mid,asap,80,49.520989321227276,missing_voice,missing_voice,-30.47901067877272
Knoll10_asap_wrong_notes(1241)_timing_errors(3919)_dynamic_erro_0023.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/2nd_no_repeat/Knoll10.mid,asap,80,20.0,mixed,"wrong_notes(1241),timing_errors(3919),dynamic_errors(872)",-60.0
Knoll10_asap_wrong_notes(1972)_timing_errors(1906)_dynamic_erro_0024.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/2nd_no_repeat/Knoll10.mid,asap,80,20.0,mixed,"wrong_notes(1972),timing_errors(1906),dynamic_errors(2058)",-60.0
Knoll10_asap_timing_errors(1285)_0025.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/2nd_no_repeat/Knoll10.mid,asap,80,60.0,timing_errors,timing_errors(1285),-20.0
Knoll10_asap_dynamic_errors(4005)_0026.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/2nd_no_repeat/Knoll10.mid,asap,80,65.0,dynamic_errors,dynamic_errors(4005),-15.0
Giltburg02_asap_original_0027.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/2nd_no_repeat/Giltburg02.mid,asap,80,80.0,clean,original,0.0
Giltburg02_asap_missing_passage_0028.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/2nd_no_repeat/Giltburg02.mid,asap,80,36.737891663838255,missing_passage,missing_passage,-43.262108336161745
Giltburg02_asap_missing_passage_0029.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/2nd_no_repeat/Giltburg02.mid,asap,80,36.834122994691526,missing_passage,missing_passage,-43.165877005308474
Giltburg02_asap_dynamic_errors(2847)_0030.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/2nd_no_repeat/Giltburg02.mid,asap,80,65.0,dynamic_errors,dynamic_errors(2847),-15.0
Giltburg02_asap_wrong_notes(2564)_0031.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/2nd_no_repeat/Giltburg02.mid,asap,80,55.0,wrong_notes,wrong_notes(2564),-25.0
Giltburg02_asap_timing_errors(561)_0032.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/2nd_no_repeat/Giltburg02.mid,asap,80,60.0,timing_errors,timing_errors(561),-20.0
Giltburg02_asap_wrong_notes(4065)_0033.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/2nd_no_repeat/Giltburg02.mid,asap,80,55.0,wrong_notes,wrong_notes(4065),-25.0
Giltburg02_asap_missing_passage_0034.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/2nd_no_repeat/Giltburg02.mid,asap,80,50.42957279372969,missing_passage,missing_passage,-29.570427206270306
Giltburg02_asap_wrong_notes(668)_timing_errors(2778)_dynamic_error_0035.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/2nd_no_repeat/Giltburg02.mid,asap,80,20.0,mixed,"wrong_notes(668),timing_errors(2778),dynamic_errors(2171)",-60.0
KaszoS14_asap_original_0036.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/2nd/KaszoS14.mid,asap,80,80.0,clean,original,0.0
KaszoS14_asap_missing_passage_0037.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/2nd/KaszoS14.mid,asap,80,35.37457319328159,missing_passage,missing_passage,-44.62542680671841
KaszoS14_asap_missing_passage_0038.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/2nd/KaszoS14.mid,asap,80,48.92035081442802,missing_passage,missing_passage,-31.079649185571977
KaszoS14_asap_missing_passage_0039.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/2nd/KaszoS14.mid,asap,80,39.26094645717594,missing_passage,missing_passage,-40.73905354282406
KaszoS14_asap_dynamic_errors(4169)_0040.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/2nd/KaszoS14.mid,asap,80,65.0,dynamic_errors,dynamic_errors(4169),-15.0
KaszoS14_asap_missing_passage_0041.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/2nd/KaszoS14.mid,asap,80,44.65933503885044,missing_passage,missing_passage,-35.34066496114956
KaszoS14_asap_missing_passage_0042.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/2nd/KaszoS14.mid,asap,80,30.028510716339653,missing_passage,missing_passage,-49.97148928366035
KaszoS14_asap_timing_errors(2551)_0043.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/2nd/KaszoS14.mid,asap,80,60.0,timing_errors,timing_errors(2551),-20.0
KaszoS14_asap_missing_voice_0044.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/2nd/KaszoS14.mid,asap,80,44.21630359619544,missing_voice,missing_voice,-35.78369640380456
Giltburg02_asap_original_0045.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/3rd/Giltburg02.mid,asap,80,80.0,clean,original,0.0
Giltburg02_asap_wrong_notes(1323)_timing_errors(1065)_dynamic_erro_0046.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/3rd/Giltburg02.mid,asap,80,20.0,mixed,"wrong_notes(1323),timing_errors(1065),dynamic_errors(1357)",-60.0
Giltburg02_asap_missing_passage_0047.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/3rd/Giltburg02.mid,asap,80,37.276612994076295,missing_passage,missing_passage,-42.723387005923705
Giltburg02_asap_missing_passage_0048.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/3rd/Giltburg02.mid,asap,80,44.88690411161001,missing_passage,missing_passage,-35.11309588838999
Giltburg02_asap_missing_voice_0049.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/3rd/Giltburg02.mid,asap,80,23.06452395639092,missing_voice,missing_voice,-56.93547604360908
Giltburg02_asap_missing_passage_0050.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/3rd/Giltburg02.mid,asap,80,33.80642940306568,missing_passage,missing_passage,-46.19357059693432
Giltburg02_asap_dynamic_errors(1680)_0051.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/3rd/Giltburg02.mid,asap,80,65.0,dynamic_errors,dynamic_errors(1680),-15.0
Giltburg02_asap_wrong_notes(389)_0052.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/3rd/Giltburg02.mid,asap,80,55.0,wrong_notes,wrong_notes(389),-25.0
Giltburg02_asap_missing_passage_0053.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/3rd/Giltburg02.mid,asap,80,42.91766922204792,missing_passage,missing_passage,-37.08233077795208
Knoll10_asap_original_0054.mid,/data/scratch/acw630/asap-dataset-alignment/Chopin/Sonata_2/3rd_no_repeat/Knoll10.mid,asap,80,80.0,clean,original,0.0
